Epoch 1/160: 84it [00:10,  7.95it/s]                        
2025-06-18 10:16:33.559 | INFO     | model:train:239 - [epoch 1]: epoch loss = 2.451475,   acc = 0.154496
[epoch 1]: epoch loss = 2.451475,   acc = 0.154496
Epoch 2/160: 84it [00:10,  8.10it/s]                        
2025-06-18 10:16:44.003 | INFO     | model:train:239 - [epoch 2]: epoch loss = 2.368087,   acc = 0.165828
[epoch 2]: epoch loss = 2.368087,   acc = 0.165828
Epoch 3/160: 84it [00:10,  8.20it/s]                        
2025-06-18 10:16:54.309 | INFO     | model:train:239 - [epoch 3]: epoch loss = 2.319178,   acc = 0.173497
[epoch 3]: epoch loss = 2.319178,   acc = 0.173497
Epoch 4/160: 84it [00:10,  7.97it/s]                        
2025-06-18 10:17:04.921 | INFO     | model:train:239 - [epoch 4]: epoch loss = 2.272462,   acc = 0.183295
[epoch 4]: epoch loss = 2.272462,   acc = 0.183295
Epoch 5/160: 84it [00:10,  8.29it/s]                        
2025-06-18 10:17:15.125 | INFO     | model:train:239 - [epoch 5]: epoch loss = 2.201954,   acc = 0.189311
[epoch 5]: epoch loss = 2.201954,   acc = 0.189311
Epoch 6/160: 84it [00:09,  8.45it/s]                        
2025-06-18 10:17:25.135 | INFO     | model:train:239 - [epoch 6]: epoch loss = 2.086832,   acc = 0.186872
[epoch 6]: epoch loss = 2.086832,   acc = 0.186872
Epoch 7/160: 84it [00:10,  7.90it/s]                        
2025-06-18 10:17:35.830 | INFO     | model:train:239 - [epoch 7]: epoch loss = 1.967867,   acc = 0.286128
[epoch 7]: epoch loss = 1.967867,   acc = 0.286128
Epoch 8/160: 84it [00:10,  7.89it/s]                        
2025-06-18 10:17:46.564 | INFO     | model:train:239 - [epoch 8]: epoch loss = 1.768093,   acc = 0.407172
[epoch 8]: epoch loss = 1.768093,   acc = 0.407172
Epoch 9/160: 84it [00:10,  7.80it/s]                        
2025-06-18 10:17:57.417 | INFO     | model:train:239 - [epoch 9]: epoch loss = 1.655293,   acc = 0.483576
[epoch 9]: epoch loss = 1.655293,   acc = 0.483576
Epoch 10/160: 84it [00:10,  7.74it/s]                        
2025-06-18 10:18:08.359 | INFO     | model:train:239 - [epoch 10]: epoch loss = 1.552749,   acc = 0.532242
[epoch 10]: epoch loss = 1.552749,   acc = 0.532242
Epoch 11/160: 84it [00:10,  7.85it/s]                        
2025-06-18 10:18:19.130 | INFO     | model:train:239 - [epoch 11]: epoch loss = 1.429721,   acc = 0.578561
[epoch 11]: epoch loss = 1.429721,   acc = 0.578561
Epoch 12/160: 84it [00:10,  7.99it/s]                        
2025-06-18 10:18:29.782 | INFO     | model:train:239 - [epoch 12]: epoch loss = 1.380819,   acc = 0.600298
[epoch 12]: epoch loss = 1.380819,   acc = 0.600298
Epoch 13/160: 84it [00:10,  7.85it/s]                        
2025-06-18 10:18:40.557 | INFO     | model:train:239 - [epoch 13]: epoch loss = 1.330847,   acc = 0.621949
[epoch 13]: epoch loss = 1.330847,   acc = 0.621949
Epoch 14/160: 84it [00:10,  7.93it/s]                        
2025-06-18 10:18:51.230 | INFO     | model:train:239 - [epoch 14]: epoch loss = 1.306631,   acc = 0.627732
[epoch 14]: epoch loss = 1.306631,   acc = 0.627732
Epoch 15/160: 84it [00:10,  7.87it/s]                        
2025-06-18 10:19:01.986 | INFO     | model:train:239 - [epoch 15]: epoch loss = 1.255792,   acc = 0.653938
[epoch 15]: epoch loss = 1.255792,   acc = 0.653938
Epoch 16/160: 84it [00:10,  7.93it/s]                        
2025-06-18 10:19:12.659 | INFO     | model:train:239 - [epoch 16]: epoch loss = 1.248911,   acc = 0.648107
[epoch 16]: epoch loss = 1.248911,   acc = 0.648107
Epoch 17/160: 84it [00:10,  8.24it/s]                        
2025-06-18 10:19:22.940 | INFO     | model:train:239 - [epoch 17]: epoch loss = 1.149059,   acc = 0.684977
[epoch 17]: epoch loss = 1.149059,   acc = 0.684977
Epoch 18/160: 84it [00:10,  7.75it/s]                        
2025-06-18 10:19:33.868 | INFO     | model:train:239 - [epoch 18]: epoch loss = 1.106394,   acc = 0.692829
[epoch 18]: epoch loss = 1.106394,   acc = 0.692829
Epoch 19/160: 84it [00:10,  7.74it/s]                        
2025-06-18 10:19:44.806 | INFO     | model:train:239 - [epoch 19]: epoch loss = 1.070441,   acc = 0.709703
[epoch 19]: epoch loss = 1.070441,   acc = 0.709703
Epoch 20/160: 84it [00:10,  7.72it/s]                        
2025-06-18 10:19:55.768 | INFO     | model:train:239 - [epoch 20]: epoch loss = 1.042693,   acc = 0.719404
[epoch 20]: epoch loss = 1.042693,   acc = 0.719404
Predicted labels distribution: (array([ 0,  1,  2,  3,  4,  5,  6,  7,  8,  9, 10, 11]), array([15853,  6012,  4997,  5453, 11230, 12048,  5767, 11425,   334,
         698,  1853,  2663]))
True labels distribution: (array([ 0,  1,  2,  3,  4,  5,  6,  7,  8,  9, 10, 11]), array([12500,  6352,  5202,  6561, 11359, 13990,  7155,  6462,   929,
        2084,  1059,  4680]))
2025-06-18 10:19:56.135 | INFO     | model:train:255 - [epoch 20]: val loss = 1.938056,   val acc = 0.605990,   val balanced acc = 0.538222
[epoch 20]: val loss = 1.938056,   val acc = 0.605990,   val balanced acc = 0.538222
Epoch 21/160:  63%|██████▎   | 52/82 [00:05<00:03,  8.75it/s]wandb: WARNING Tried to log to step 20 that is less than the current step 21. Steps must be monotonically increasing, so this data will be ignored. See https://wandb.me/define-metric to log data out of order.
Epoch 21/160: 84it [00:10,  8.01it/s]                        
2025-06-18 10:20:06.760 | INFO     | model:train:239 - [epoch 21]: epoch loss = 1.012230,   acc = 0.732468
[epoch 21]: epoch loss = 1.012230,   acc = 0.732468
Epoch 22/160: 84it [00:10,  7.78it/s]                        
2025-06-18 10:20:17.704 | INFO     | model:train:239 - [epoch 22]: epoch loss = 0.952114,   acc = 0.751727
[epoch 22]: epoch loss = 0.952114,   acc = 0.751727
Epoch 23/160: 84it [00:10,  8.11it/s]                        
2025-06-18 10:20:28.146 | INFO     | model:train:239 - [epoch 23]: epoch loss = 0.945386,   acc = 0.754544
