Epoch 1/160: 84it [00:10,  7.66it/s]                        
2025-06-18 10:38:05.419 | INFO     | model:train:239 - [epoch 1]: epoch loss = 2.435101,   acc = 0.159565
[epoch 1]: epoch loss = 2.435101,   acc = 0.159565
Epoch 2/160: 84it [00:10,  8.19it/s]                        
2025-06-18 10:38:15.736 | INFO     | model:train:239 - [epoch 2]: epoch loss = 2.356635,   acc = 0.167936
[epoch 2]: epoch loss = 2.356635,   acc = 0.167936
Epoch 3/160: 84it [00:10,  8.27it/s]                        
2025-06-18 10:38:25.955 | INFO     | model:train:239 - [epoch 3]: epoch loss = 2.315885,   acc = 0.173504
[epoch 3]: epoch loss = 2.315885,   acc = 0.173504
Epoch 4/160: 84it [00:10,  8.24it/s]                        
2025-06-18 10:38:36.220 | INFO     | model:train:239 - [epoch 4]: epoch loss = 2.269906,   acc = 0.191328
[epoch 4]: epoch loss = 2.269906,   acc = 0.191328
Epoch 5/160: 84it [00:10,  8.35it/s]                        
2025-06-18 10:38:46.349 | INFO     | model:train:239 - [epoch 5]: epoch loss = 2.198157,   acc = 0.188562
[epoch 5]: epoch loss = 2.198157,   acc = 0.188562
Epoch 6/160: 84it [00:09,  8.42it/s]                        
2025-06-18 10:38:56.390 | INFO     | model:train:239 - [epoch 6]: epoch loss = 2.098932,   acc = 0.191640
[epoch 6]: epoch loss = 2.098932,   acc = 0.191640
Epoch 7/160: 84it [00:10,  8.12it/s]                        
2025-06-18 10:39:06.807 | INFO     | model:train:239 - [epoch 7]: epoch loss = 1.913530,   acc = 0.293710
[epoch 7]: epoch loss = 1.913530,   acc = 0.293710
Epoch 8/160: 84it [00:10,  8.00it/s]                        
2025-06-18 10:39:17.392 | INFO     | model:train:239 - [epoch 8]: epoch loss = 1.763247,   acc = 0.398443
[epoch 8]: epoch loss = 1.763247,   acc = 0.398443
Epoch 9/160: 84it [00:10,  8.02it/s]                        
2025-06-18 10:39:27.934 | INFO     | model:train:239 - [epoch 9]: epoch loss = 1.632374,   acc = 0.484473
[epoch 9]: epoch loss = 1.632374,   acc = 0.484473
Epoch 10/160: 84it [00:10,  8.00it/s]                        
2025-06-18 10:39:38.506 | INFO     | model:train:239 - [epoch 10]: epoch loss = 1.537523,   acc = 0.538366
[epoch 10]: epoch loss = 1.537523,   acc = 0.538366
Epoch 11/160: 84it [00:10,  7.97it/s]                        
2025-06-18 10:39:49.123 | INFO     | model:train:239 - [epoch 11]: epoch loss = 1.495700,   acc = 0.544157
[epoch 11]: epoch loss = 1.495700,   acc = 0.544157
Epoch 12/160: 84it [00:10,  7.86it/s]                        
